Date,Price,Open,High,Low,Vol.,Change %
11-03-2023,176.65,174.24,176.82,173.35,79.83M,-0.52%
11-02-2023,177.57,175.52,177.78,175.46,77.33M,2.07%
11-01-2023,173.97,171,174.23,170.12,56.93M,1.87%
10/31/2023,170.77,169.35,170.9,167.9,44.85M,0.28%
10/30/2023,170.29,169.02,171.17,168.87,51.13M,1.23%
10/27/2023,168.22,166.91,168.96,166.83,58.50M,0.80%
10/26/2023,166.89,170.37,171.38,165.67,70.63M,-2.46%
10/25/2023,171.1,171.88,173.06,170.65,57.16M,-1.35%
10/24/2023,173.44,173.05,173.67,171.45,43.82M,0.25%
10/23/2023,173,170.91,174.01,169.93,55.98M,0.07%
10/20/2023,172.88,175.31,175.42,172.64,64.24M,-1.47%
10/19/2023,175.46,176.04,177.84,175.19,59.30M,-0.22%
10/18/2023,175.84,175.58,177.57,175.11,54.76M,-0.74%
10/17/2023,177.15,176.65,178.42,174.8,57.55M,-0.88%
10/16/2023,178.72,176.75,179.07,176.51,52.52M,-0.07%
10/13/2023,178.85,181.42,181.93,178.14,51.46M,-1.03%
10-12-2023,180.71,180.07,182.34,179.04,56.74M,0.51%
10-11-2023,179.8,178.2,179.85,177.6,47.55M,0.79%
10-10-2023,178.39,178.1,179.72,177.95,43.70M,-0.34%
10-09-2023,178.99,176.81,179.05,175.8,42.39M,0.85%
10-06-2023,177.49,173.8,177.99,173.18,57.27M,1.48%
10-05-2023,174.91,173.79,175.45,172.68,48.53M,0.72%
10-04-2023,173.66,171.09,174.21,170.97,53.02M,0.73%
10-03-2023,172.4,172.26,173.63,170.82,49.59M,-0.78%
10-02-2023,173.75,171.22,174.3,170.93,52.16M,1.48%
09/29/2023,171.21,172.02,173.07,170.34,51.86M,0.30%
09/28/2023,170.69,169.34,172.03,167.62,56.29M,0.15%
09/27/2023,170.43,172.62,173.04,169.05,66.92M,-0.89%
09/26/2023,171.96,174.82,175.2,171.66,64.59M,-2.34%
09/25/2023,176.08,174.2,176.97,174.15,46.17M,0.74%
09/22/2023,174.79,174.67,177.08,174.05,56.73M,0.49%
09/21/2023,173.93,174.55,176.3,173.86,63.15M,-0.89%
09/20/2023,175.49,179.26,179.7,175.4,58.44M,-2.00%
09/19/2023,179.07,177.52,179.63,177.13,51.83M,0.62%
09/18/2023,177.97,176.48,179.38,176.17,67.26M,1.69%
09/15/2023,175.01,176.48,176.49,173.82,109.26M,-0.42%
09/14/2023,175.74,174,176.1,173.58,60.90M,0.88%
09/13/2023,174.21,176.51,177.3,173.98,84.27M,-1.19%
09-12-2023,176.3,179.49,180.13,174.82,90.37M,-1.71%
09-11-2023,179.36,180.07,180.3,177.34,58.95M,0.66%
09-08-2023,178.18,178.35,180.24,177.79,65.60M,0.35%
09-07-2023,177.56,175.18,178.21,173.54,112.49M,-2.92%
09-06-2023,182.91,188.4,188.85,181.47,81.76M,-3.58%
09-05-2023,189.7,188.28,189.98,187.61,45.28M,0.13%
09-01-2023,189.46,189.49,189.92,188.28,45.77M,0.85%
08/31/2023,187.87,187.84,189.12,187.48,60.79M,0.12%
08/30/2023,187.65,184.94,187.85,184.74,60.81M,1.92%
08/29/2023,184.12,179.7,184.9,179.5,53.00M,2.18%
08/28/2023,180.19,180.09,180.59,178.54,43.82M,0.88%
08/25/2023,178.61,177.38,179.15,175.82,51.45M,1.26%
08/24/2023,176.38,180.67,181.1,176.01,54.95M,-2.62%
08/23/2023,181.12,178.52,181.55,178.32,52.72M,2.19%
08/22/2023,177.23,177.06,177.68,176.25,42.08M,0.79%
08/21/2023,175.84,175.07,176.13,173.74,46.31M,0.77%
08/18/2023,174.49,172.3,175.1,171.96,61.17M,0.28%
08/17/2023,174,177.14,177.51,173.48,66.06M,-1.46%
08/16/2023,176.57,177.13,178.54,176.5,46.96M,-0.50%
08/15/2023,177.45,178.88,179.48,177.05,43.62M,-1.12%
08/14/2023,179.46,177.97,179.69,177.3,43.68M,0.94%
08-11-2023,177.79,177.32,178.62,176.55,52.04M,-0.10%
08-10-2023,177.97,179.48,180.75,177.6,54.69M,-0.12%
08-09-2023,178.19,180.87,180.93,177.01,60.38M,-0.90%
08-08-2023,179.8,179.69,180.27,177.58,67.82M,0.53%
08-07-2023,178.85,182.13,183.13,177.35,97.58M,-1.73%
08-04-2023,181.99,185.52,187.38,181.92,115.96M,-4.80%
08-03-2023,191.17,191.57,192.37,190.69,62.24M,-0.73%
08-02-2023,192.58,195.04,195.18,191.85,50.39M,-1.55%
08-01-2023,195.6,196.24,196.73,195.28,35.28M,-0.43%
07/31/2023,196.45,196.06,196.49,195.26,38.82M,0.32%
07/28/2023,195.83,194.67,196.63,194.14,48.29M,1.35%
07/27/2023,193.22,196.02,197.2,192.55,47.46M,-0.66%
07/26/2023,194.5,193.67,195.64,193.32,47.47M,0.45%
07/25/2023,193.62,193.33,194.44,192.91,37.28M,0.45%
07/24/2023,192.75,193.41,194.91,192.25,45.51M,0.42%
07/21/2023,191.94,194.1,194.97,191.23,71.95M,-0.62%
07/20/2023,193.13,195.09,196.47,192.49,59.58M,-1.01%
07/19/2023,195.1,193.1,198.23,192.65,80.51M,0.71%
07/18/2023,193.73,193.35,194.33,192.41,48.35M,-0.13%
07/17/2023,193.99,191.9,194.32,191.81,50.52M,1.73%
07/14/2023,190.69,190.23,191.18,189.63,41.62M,0.08%
07/13/2023,190.54,190.5,191.19,189.78,41.34M,0.41%
07-12-2023,189.77,189.68,191.7,188.47,60.75M,0.90%
07-11-2023,188.08,189.16,189.3,186.6,46.64M,-0.28%
07-10-2023,188.61,189.26,189.99,187.04,59.92M,-1.09%
07-07-2023,190.68,191.41,192.67,190.24,46.82M,-0.59%
07-06-2023,191.81,189.84,192.02,189.2,45.16M,0.25%
07-05-2023,191.33,191.57,192.98,190.62,46.92M,-0.59%
07-03-2023,192.46,193.78,193.88,191.76,31.46M,-0.78%
06/30/2023,193.97,191.63,194.48,191.26,85.21M,2.31%
06/29/2023,189.59,189.08,190.07,188.94,46.35M,0.18%
06/28/2023,189.25,187.93,189.9,187.6,51.22M,0.63%
06/27/2023,188.06,185.89,188.39,185.67,50.73M,1.51%
06/26/2023,185.27,186.83,188.05,185.23,48.09M,-0.76%
06/23/2023,186.68,185.55,187.56,185.01,53.12M,-0.17%
06/22/2023,187,183.74,187.04,183.67,51.25M,1.65%
06/21/2023,183.96,184.9,185.41,182.59,49.52M,-0.57%
06/20/2023,185.01,184.41,186.1,184.41,49.80M,0.05%
06/16/2023,184.92,186.73,186.99,184.27,101.26M,-0.59%
06/15/2023,186.01,183.96,186.52,183.78,65.43M,1.12%
06/14/2023,183.95,183.37,184.39,182.02,57.46M,0.35%
06/13/2023,183.31,182.8,184.15,182.44,54.93M,-0.26%
06-12-2023,183.79,181.27,183.89,180.97,54.76M,1.56%
06-09-2023,180.96,181.5,182.23,180.63,48.90M,0.22%
06-08-2023,180.57,177.9,180.84,177.46,50.21M,1.55%
06-07-2023,177.82,178.44,181.21,177.32,61.94M,-0.78%
06-06-2023,179.21,179.96,180.12,177.43,64.85M,-0.21%
06-05-2023,179.58,182.63,184.95,178.04,121.95M,-0.76%
06-02-2023,180.95,181.03,181.78,179.26,62.00M,0.48%
06-01-2023,180.09,177.7,180.12,176.93,68.90M,1.60%
05/31/2023,177.25,177.32,179.35,176.76,99.63M,-0.03%
05/30/2023,177.3,176.96,178.99,176.57,55.96M,1.07%
05/26/2023,175.43,173.32,175.77,173.11,54.84M,1.41%
05/25/2023,172.99,172.41,173.9,171.69,56.06M,0.67%
05/24/2023,171.84,171.09,172.42,170.52,45.14M,0.16%
05/23/2023,171.56,173.13,173.38,171.27,50.75M,-1.52%
05/22/2023,174.2,173.98,174.71,173.45,43.57M,-0.55%
05/19/2023,175.16,176.39,176.39,174.94,55.81M,0.06%
05/18/2023,175.05,173,175.24,172.58,65.50M,1.37%
05/17/2023,172.69,171.71,172.93,170.42,57.95M,0.36%
05/16/2023,172.07,171.99,173.14,171.8,42.11M,0.00%
05/15/2023,172.07,173.16,173.21,171.47,37.27M,-0.29%
05-12-2023,172.57,173.62,174.06,171,45.53M,-0.68%
05-11-2023,173.75,173.85,174.59,172.17,49.51M,0.11%
05-10-2023,173.55,173.02,174.03,171.9,53.72M,1.04%
05-09-2023,171.77,173.05,173.54,171.6,45.33M,-1.00%
05-08-2023,173.5,172.48,173.85,172.11,55.96M,-0.04%
05-05-2023,173.57,170.98,174.3,170.76,113.45M,4.69%
05-04-2023,165.79,164.89,167.04,164.31,81.24M,-0.99%
05-03-2023,167.45,169.5,170.92,167.16,65.14M,-0.65%
05-02-2023,168.54,170.09,170.35,167.54,48.43M,-0.62%
05-01-2023,169.59,169.28,170.45,168.64,52.47M,-0.05%
04/28/2023,169.68,168.49,169.85,167.88,55.28M,0.75%
04/27/2023,168.41,165.19,168.56,165.19,64.90M,2.84%
04/26/2023,163.76,163.05,165.28,162.8,45.50M,-0.01%
04/25/2023,163.77,165.19,166.3,163.73,48.71M,-0.94%
04/24/2023,165.33,165,165.6,163.89,41.95M,0.19%
04/21/2023,165.02,165.05,166.45,164.49,58.34M,-0.98%
04/20/2023,166.65,166.09,167.87,165.56,52.46M,-0.58%
04/19/2023,167.63,165.8,168.16,165.54,47.72M,0.70%
04/18/2023,166.47,166.1,167.41,165.65,49.92M,0.75%
04/17/2023,165.23,165.09,165.39,164.03,41.52M,0.01%
04/14/2023,165.21,164.59,166.32,163.82,49.39M,-0.21%
04/13/2023,165.56,161.63,165.8,161.42,68.45M,3.41%
04-12-2023,160.1,161.22,162.06,159.78,50.13M,-0.44%
04-11-2023,160.8,162.35,162.36,160.51,47.64M,-0.76%
04-10-2023,162.03,161.42,162.03,160.08,47.72M,-1.60%
04-06-2023,164.66,162.43,164.96,162,45.39M,0.55%
04-05-2023,163.76,164.74,165.05,161.8,51.51M,-1.13%
04-04-2023,165.63,166.6,166.84,165.11,46.28M,-0.32%
04-03-2023,166.17,164.27,166.29,164.22,56.98M,0.77%
03/31/2023,164.9,162.44,165,161.91,68.75M,1.56%
03/30/2023,162.36,161.53,162.47,161.27,49.50M,0.99%
03/29/2023,160.77,159.37,161.05,159.35,51.31M,1.98%
03/28/2023,157.65,157.97,158.49,155.98,45.99M,-0.40%
03/27/2023,158.28,159.94,160.77,157.87,52.39M,-1.23%
03/24/2023,160.25,158.86,160.34,157.85,59.26M,0.83%
03/23/2023,158.93,158.83,161.55,157.68,67.62M,0.70%
03/22/2023,157.83,159.3,162.14,157.81,75.70M,-0.91%
03/21/2023,159.28,157.32,159.4,156.54,73.94M,1.19%
03/20/2023,157.4,155.07,157.82,154.15,73.64M,1.55%
03/17/2023,155,156.08,156.74,154.28,98.94M,-0.55%
03/16/2023,155.85,152.16,156.46,151.64,76.25M,1.87%
03/15/2023,152.99,151.19,153.24,149.92,77.17M,0.26%
03/14/2023,152.59,151.28,153.4,150.1,73.70M,1.41%
03/13/2023,150.47,147.8,153.14,147.7,84.46M,1.33%
03-10-2023,148.5,150.21,150.94,147.61,68.57M,-1.39%
03-09-2023,150.59,153.56,154.54,150.23,53.83M,-1.49%
03-08-2023,152.87,152.81,153.47,151.83,47.20M,0.84%
03-07-2023,151.6,153.7,154.03,151.13,56.18M,-1.45%
03-06-2023,153.83,153.79,156.3,153.46,87.56M,1.85%
03-03-2023,151.03,148.04,151.11,147.33,70.73M,3.51%
03-02-2023,145.91,144.38,146.71,143.9,52.28M,0.41%
03-01-2023,145.31,146.83,147.23,145.01,55.48M,-1.42%
02/28/2023,147.41,147.05,149.08,146.83,50.55M,-0.34%
02/27/2023,147.92,147.71,149.17,147.45,45.00M,0.82%
02/24/2023,146.71,147.11,147.19,145.72,55.47M,-1.80%
02/23/2023,149.4,150.09,150.34,147.24,48.39M,0.33%
02/22/2023,148.91,148.87,149.95,147.16,51.01M,0.29%
02/21/2023,148.48,150.2,151.3,148.4,58.87M,-2.67%
02/17/2023,152.55,152.35,153,150.85,59.14M,-0.75%
02/16/2023,153.71,153.51,156.33,153.35,68.17M,-1.04%
02/15/2023,155.33,153.11,155.5,152.88,65.67M,1.39%
02/14/2023,153.2,152.12,153.77,150.86,61.71M,-0.42%
02/13/2023,153.85,150.95,154.26,150.92,62.20M,1.88%
02-10-2023,151.01,149.46,151.34,149.22,57.45M,0.09%
02-09-2023,150.87,153.77,154.33,150.42,56.01M,-0.69%
02-08-2023,151.92,153.88,154.58,151.17,64.12M,-1.77%
02-07-2023,154.65,150.64,155.23,150.64,83.32M,1.92%
02-06-2023,151.73,152.57,153.1,150.78,69.86M,-1.79%
02-03-2023,154.5,148.03,157.38,147.83,154.36M,2.44%
02-02-2023,150.82,148.9,151.18,148.17,118.34M,3.71%
02-01-2023,145.43,143.97,146.61,141.32,77.66M,0.79%
01/31/2023,144.29,142.7,144.34,142.28,65.87M,0.90%
01/30/2023,143,144.96,145.55,142.85,64.02M,-2.01%
01/27/2023,145.93,143.15,147.23,143.08,70.56M,1.37%
01/26/2023,143.96,143.17,144.25,141.9,54.11M,1.48%
01/25/2023,141.86,140.89,142.43,138.81,65.80M,-0.47%
01/24/2023,142.53,140.3,143.16,140.3,66.44M,1.01%
01/23/2023,141.11,138.12,143.32,137.9,81.76M,2.35%
01/20/2023,137.87,135.28,138.02,134.22,80.22M,1.92%
01/19/2023,135.27,134.08,136.25,133.77,58.28M,0.04%
01/18/2023,135.21,136.82,138.61,135.03,69.67M,-0.54%
01/17/2023,135.94,134.83,137.29,134.13,63.65M,0.88%
01/13/2023,134.76,132.03,134.92,131.66,57.81M,1.01%
01-12-2023,133.41,133.88,134.26,131.44,71.38M,-0.06%
01-11-2023,133.49,131.25,133.51,130.46,69.46M,2.11%
01-10-2023,130.73,130.26,131.26,128.12,63.90M,0.45%
01-09-2023,130.15,130.46,133.41,129.89,70.79M,0.41%
01-06-2023,129.62,126.01,130.29,124.89,87.75M,3.68%
01-05-2023,125.02,127.13,127.77,124.76,80.96M,-1.06%
01-04-2023,126.36,126.89,128.66,125.08,89.11M,1.03%
01-03-2023,125.07,130.28,130.9,124.17,112.12M,-3.74%
12/30/2022,129.93,128.41,129.95,127.43,77.03M,0.25%
12/29/2022,129.61,127.99,130.48,127.73,75.70M,2.83%
12/28/2022,126.04,129.67,131.03,125.87,85.44M,-3.07%
12/27/2022,130.03,131.38,131.41,128.72,69.01M,-1.39%
12/23/2022,131.86,130.92,132.41,129.64,63.81M,-0.28%
12/22/2022,132.23,134.35,134.56,130.3,77.85M,-2.38%
12/21/2022,135.45,132.98,136.81,132.75,85.93M,2.38%
12/20/2022,132.3,131.39,133.25,129.89,77.43M,-0.05%
12/19/2022,132.37,135.11,135.2,131.32,79.59M,-1.59%
12/16/2022,134.51,136.68,137.65,133.73,160.16M,-1.46%
12/15/2022,136.5,141.11,141.8,136.02,98.93M,-4.69%
12/14/2022,143.21,145.35,146.65,141.16,82.29M,-1.55%
12/13/2022,145.47,149.5,149.97,144.24,93.89M,0.68%
12-12-2022,144.49,142.7,144.5,141.06,70.46M,1.64%
12-09-2022,142.16,142.34,145.57,140.9,76.10M,-0.34%
12-08-2022,142.65,142.36,143.52,141.1,62.13M,1.21%
12-07-2022,140.94,142.19,143.37,140,69.72M,-1.38%
12-06-2022,142.91,147.07,147.3,141.92,64.73M,-2.54%
12-05-2022,146.63,147.77,150.92,145.77,68.83M,-0.80%
12-02-2022,147.81,145.96,148,145.65,65.45M,-0.34%
12-01-2022,148.31,148.21,149.13,146.61,71.25M,0.19%
11/30/2022,148.03,141.4,148.72,140.55,111.38M,4.86%
11/29/2022,141.17,144.29,144.81,140.35,83.76M,-2.11%
11/28/2022,144.22,145.14,146.64,143.38,69.35M,-2.63%
11/25/2022,148.11,148.3,148.88,147.12,35.20M,-1.96%
11/23/2022,151.07,149.45,151.83,149.34,58.30M,0.59%
11/22/2022,150.18,148.13,150.42,146.93,51.80M,1.47%
11/21/2022,148.01,150.16,150.37,147.71,58.72M,-2.17%
11/18/2022,151.29,152.3,152.7,149.97,74.83M,0.38%
11/17/2022,150.72,146.43,151.48,146.15,80.39M,1.30%
11/16/2022,148.79,149.13,149.87,147.29,64.22M,-0.83%
11/15/2022,150.04,152.21,153.59,148.56,89.87M,1.19%
11/14/2022,148.28,148.97,150.28,147.43,73.37M,-0.95%
11-11-2022,149.7,145.82,150.01,144.37,93.98M,1.93%
11-10-2022,146.87,141.24,146.87,139.5,118.85M,8.90%
11-09-2022,134.87,138.5,138.55,134.59,74.92M,-3.32%
11-08-2022,139.5,140.41,141.43,137.49,89.91M,0.42%
11-07-2022,138.92,137.11,139.15,135.67,83.37M,0.39%
11-04-2022,138.38,142.09,142.67,134.38,140.81M,-0.36%
11-03-2022,138.88,142.06,142.8,138.75,97.92M,-4.24%
11-02-2022,145.03,148.95,152.17,145,93.60M,-3.73%
11-01-2022,150.65,155.08,155.45,149.13,80.38M,-1.75%
10/31/2022,153.34,153.15,154.24,151.92,97.94M,-1.54%
10/28/2022,155.74,148.2,157.5,147.82,164.76M,7.56%
10/27/2022,144.8,148.07,149.05,144.13,109.18M,-3.05%
10/26/2022,149.35,150.96,151.99,148.04,88.44M,-1.96%
10/25/2022,152.34,150.09,152.49,149.36,74.73M,1.93%
10/24/2022,149.45,147.18,150.23,146,75.98M,1.48%
10/21/2022,147.27,142.87,147.85,142.65,86.55M,2.71%
10/20/2022,143.39,143.02,145.89,142.65,64.52M,-0.33%
10/19/2022,143.86,141.69,144.95,141.5,61.76M,0.08%
10/18/2022,143.75,145.49,146.7,140.61,99.14M,0.94%
10/17/2022,142.41,141.07,142.9,140.27,85.25M,2.91%
10/14/2022,138.38,144.31,144.52,138.19,88.60M,-3.22%
10/13/2022,142.99,134.99,143.59,134.37,113.22M,3.36%
10-12-2022,138.34,139.13,140.36,138.16,70.43M,-0.46%
10-11-2022,138.98,139.9,141.35,138.22,77.03M,-1.03%
10-10-2022,140.42,140.42,141.89,138.57,74.90M,0.24%
10-07-2022,140.09,142.54,143.1,139.45,85.93M,-3.67%
10-06-2022,145.43,145.81,147.54,145.22,68.40M,-0.66%
10-05-2022,146.4,144.07,147.38,143.01,79.47M,0.21%
10-04-2022,146.1,145.03,146.22,144.26,87.83M,2.56%
10-03-2022,142.45,138.21,143.07,137.68,114.31M,3.08%
09/30/2022,138.2,141.28,143.1,138,124.93M,-3.00%
09/29/2022,142.48,146.1,146.72,140.68,128.14M,-4.91%
09/28/2022,149.84,147.64,150.64,144.84,146.69M,-1.27%
09/27/2022,151.76,152.74,154.72,149.95,84.44M,0.66%
09/26/2022,150.77,149.66,153.77,149.64,93.34M,0.23%
09/23/2022,150.43,151.19,151.47,148.56,96.03M,-1.51%
09/22/2022,152.74,152.38,154.47,150.91,86.65M,-0.64%
09/21/2022,153.72,157.34,158.74,153.6,101.70M,-2.03%
09/20/2022,156.9,153.4,158.08,153.08,107.69M,1.57%
09/19/2022,154.48,149.31,154.56,149.1,81.47M,2.51%
09/16/2022,150.7,151.21,151.35,148.37,162.28M,-1.10%
09/15/2022,152.37,154.65,155.24,151.38,90.48M,-1.89%
09/14/2022,155.31,154.79,157.1,153.61,87.97M,0.96%
09/13/2022,153.84,159.9,160.54,153.37,122.66M,-5.87%
09-12-2022,163.43,159.59,164.26,159.3,104.96M,3.85%
09-09-2022,157.37,155.47,157.82,154.75,68.08M,1.88%
09-08-2022,154.46,154.64,156.36,152.68,84.92M,-0.96%
09-07-2022,155.96,154.82,156.67,153.61,87.45M,0.93%
09-06-2022,154.53,156.47,157.09,153.69,73.71M,-0.82%
09-02-2022,155.81,159.75,160.36,154.96,76.96M,-1.36%
09-01-2022,157.96,156.64,158.42,154.67,74.23M,0.47%
08/31/2022,157.22,160.3,160.58,157.14,87.99M,-1.06%
08/30/2022,158.91,162.13,162.56,157.72,77.91M,-1.53%
08/29/2022,161.38,161.15,162.9,159.82,73.31M,-1.37%
08/26/2022,163.62,170.57,171.05,163.56,78.96M,-3.77%
08/25/2022,170.03,168.78,170.14,168.35,51.22M,1.49%
08/24/2022,167.53,167.32,168.11,166.24,53.84M,0.18%
08/23/2022,167.23,167.08,168.71,166.65,54.15M,-0.20%
08/22/2022,167.57,169.69,169.86,167.13,69.03M,-2.30%
08/19/2022,171.52,173.03,173.74,171.31,70.35M,-1.51%
08/18/2022,174.15,173.75,174.9,173.12,62.29M,-0.23%
08/17/2022,174.55,172.77,176.15,172.57,79.54M,0.88%
08/16/2022,173.03,172.78,173.71,171.66,56.38M,-0.09%
08/15/2022,173.19,171.52,173.39,171.35,54.09M,0.63%
08-12-2022,172.1,169.82,172.17,169.4,68.04M,2.14%
08-11-2022,168.49,170.06,170.99,168.19,57.15M,-0.44%
08-10-2022,169.24,167.68,169.34,166.9,70.17M,2.62%
08-09-2022,164.92,164.02,165.82,163.25,63.14M,0.03%
08-08-2022,164.87,166.37,167.81,164.2,60.36M,-0.29%
08-05-2022,165.35,163.21,165.85,163,56.70M,-0.28%
08-04-2022,165.81,166.01,167.19,164.43,55.47M,-0.19%
08-03-2022,166.13,160.84,166.59,160.75,82.51M,3.82%
08-02-2022,160.01,160.1,162.41,159.63,59.91M,-0.93%
08-01-2022,161.51,161.01,163.59,160.89,67.83M,-0.62%
